0 	9 	num	[4, 2, 5, 2, 2, 2, 5, 2, 2, 7, 3, 2, 4, 3, 3, 3, 2, 2, 2, 4, 16, 5, 2, 3, 2, 3, 2, 2, 2, 14, 13, 2, 4, 2, 2, 4, 2, 2, 6, 2, 5, 2, 2, 2, 10, 5, 2, 4, 3, 10, 3, 7, 2, 2, 25, 4, 7, 3, 3, 5, 2, 2, 11, 2, 9, 6, 2, 3, 3, 4, 15, 2]
0 	9	score	[8.424047033678365, 8.35520925584503, 8.603465169380744, 3.67589982284503, 3.67589982284503, 8.66305541022003, 8.458619803383492, 3.67589982284503, 3.67589982284503, 8.43683073823897, 8.27976587284503, 3.67589982284503, 8.42734758984503, 8.358084352745031, 8.53082781184503, 8.511008317655842, 3.67589982284503, 3.67589982284503, 8.66356014784503, 8.463193237416458, 8.59422440888568, 8.231099585410249, 8.10708236584503, 8.87303042284503, 8.71557406284503, 8.38599675809503, 8.26999732284503, 8.61741982284503, 3.67589982284503, 8.533800897144, 8.401720016983543, 8.48280234784503, 9.102632785678363, 8.14434346284503, 8.57162847284503, 8.616034770184653, 3.67589982284503, 3.67589982284503, 8.53772735479625, 3.67589982284503, 8.41929003834503, 3.67589982284503, 3.67589982284503, 3.67589982284503, 8.419528168923977, 8.385124661357851, 8.45873890584503, 8.52205934284503, 8.32476423193594, 8.85056384284503, 8.466113609311696, 8.485192626637483, 3.67589982284503, 3.67589982284503, 8.564194210690015, 8.36422959584503, 8.504324732896313, 8.250805779845031, 8.01219698984503, 8.44370118859503, 8.6766731942736, 8.402919939845031, 8.678402449902407, 8.532205550789474, 8.40066130955614, 8.28681910584503, 9.686263622845031, 7.91472444284503, 8.35751865836116, 8.653796525187134, 8.41833517722314, 3.67589982284503]
1 	10 	num	[5, 2, 4, 2, 2, 5, 7, 3, 3, 11, 3, 2, 4, 5, 3, 7, 2, 2, 4, 9, 28, 6, 5, 3, 2, 2, 2, 2, 2, 25, 14, 4, 6, 2, 2, 5, 3, 2, 11, 2, 6, 2, 2, 3, 6, 4, 5, 2, 7, 2, 5, 3, 2, 2, 34, 5, 7, 2, 17, 4, 2, 2, 16, 6, 10, 4, 3, 18, 3, 7, 18, 2]
1 	10	score	[8.70017014044095, 3.754315521182886, 8.737403605589135, 3.754315521182886, 3.754315521182886, 8.656517933892562, 8.549413314136373, 8.339881232182886, 8.420943696182885, 8.605033217993231, 8.571664081182885, 8.571198196182886, 8.463007621182886, 8.415423863130254, 8.536337761132886, 8.443695563191977, 3.754315521182886, 8.201627207182886, 8.62178539351622, 8.54652915027966, 8.74662421015598, 8.314485753867096, 8.715463437782885, 8.990782081182886, 3.754315521182886, 3.754315521182886, 8.656815721182886, 8.755110663182887, 3.754315521182886, 8.454804655024848, 8.500485169527714, 8.491801916649553, 8.998828500419728, 3.754315521182886, 8.590767271182886, 8.667786097702367, 9.020730071182886, 3.754315521182886, 8.625501429695081, 3.754315521182886, 8.670802892538441, 8.644751454182886, 3.754315521182886, 8.492150637682887, 8.52768994679827, 8.597492818477003, 8.252863799182887, 8.558406521182885, 8.63778312306968, 3.754315521182886, 8.50397659901622, 8.628394004682885, 3.754315521182886, 3.754315521182886, 8.578835661345469, 8.566106961382886, 8.521929140182886, 8.793424471182886, 8.253042281804097, 8.613628376960664, 8.685561303001068, 3.754315521182886, 8.697831075980702, 8.520503181346152, 8.51649899817247, 8.557383015535827, 9.018590821182887, 8.099340467182886, 8.651008442395007, 8.702934425988856, 8.350837334810336, 3.754315521182886]
2 	11 	num	[2, 2, 3, 2, 2, 2, 27, 3, 2, 22, 5, 2, 2, 5, 2, 14, 2, 2, 2, 9, 35, 2, 10, 3, 2, 3, 2, 2, 2, 28, 21, 8, 2, 3, 2, 5, 3, 2, 10, 2, 5, 4, 2, 3, 13, 3, 2, 2, 4, 2, 6, 6, 5, 2, 27, 4, 7, 2, 7, 9, 2, 3, 17, 8, 6, 10, 2, 4, 5, 4, 16, 2]
2 	11	score	[8.478212407670524, 3.794315450670524, 8.420098398289571, 3.794315450670524, 8.145113083670523, 3.794315450670524, 8.67744424518094, 8.466951582170523, 3.794315450670524, 8.740025648412711, 8.565528936670525, 8.738958200670524, 3.794315450670524, 8.534995492943253, 3.794315450670524, 8.54895230776895, 3.794315450670524, 8.519494956670524, 8.606081713170525, 8.442626101464175, 8.828660158978767, 8.645936480670525, 8.62361581229873, 8.537038550670523, 3.794315450670524, 8.376975403552876, 8.576197713295524, 3.794315450670524, 8.787508100670525, 8.540553049568086, 8.550878408485719, 8.481630568178588, 3.794315450670524, 8.580507461670525, 8.467354200670524, 8.788494759536379, 9.003500022099097, 3.794315450670524, 8.784505471143497, 8.648840450670523, 8.657332084155373, 8.558224800670523, 3.794315450670524, 8.939973173003857, 8.608617888925844, 8.422935171956238, 8.563112133670526, 8.608578700670524, 8.472677538170524, 3.794315450670524, 8.688481198441359, 8.519817495870525, 8.260320974670524, 3.794315450670524, 8.577225909511885, 8.864708466439755, 8.651177719407366, 8.691559625670525, 8.382284214910523, 8.505607927453132, 8.509576690670524, 8.491123689670523, 8.60644600793615, 8.602907720780014, 8.596890584764864, 8.389545580199936, 8.945732000670525, 8.514012040670524, 8.435414333474872, 8.725476293055138, 8.57025348409182, 3.794315450670524]
3 	12 	num	[2, 5, 2, 4, 2, 2, 27, 2, 3, 8, 3, 2, 5, 6, 2, 12, 2, 4, 7, 17, 20, 2, 6, 5, 3, 6, 7, 2, 2, 12, 23, 13, 2, 3, 2, 4, 2, 2, 13, 3, 11, 2, 2, 5, 20, 5, 5, 2, 3, 2, 14, 8, 3, 2, 23, 9, 12, 2, 10, 11, 5, 2, 13, 10, 7, 5, 2, 6, 3, 2, 17, 2]
3 	12	score	[8.600025470946186, 8.8305580812319, 8.978950599946184, 9.027603099946184, 8.276134724946186, 8.984211599946185, 8.881499937295391, 8.709803259746185, 8.816990149946184, 8.813442587677892, 8.810667339946185, 4.044569599946184, 8.966577959946186, 8.851109554946184, 8.733847412946185, 8.712489895588718, 4.044569599946184, 8.617666557600032, 8.885771139425351, 8.808148840207378, 8.967177940188224, 8.480408985660471, 8.72952539557662, 8.404226443946184, 9.11238855708904, 8.726871371870715, 8.764622625366744, 4.044569599946184, 4.044569599946184, 8.773542103982113, 8.817010638067286, 8.736457707946183, 8.993077649946184, 8.885726282946184, 9.210349099946185, 8.751370942336013, 4.044569599946184, 9.074541349946184, 8.913056691946185, 9.098400379946185, 8.942147036479518, 4.044569599946184, 4.044569599946184, 8.92267952200174, 8.863278498672297, 8.782071711434558, 8.660799208946184, 4.044569599946184, 8.896691568696184, 4.044569599946184, 8.783396083263645, 8.702607003236508, 8.652363716946184, 4.044569599946184, 8.841612550094332, 8.803222428978444, 8.68647062928442, 9.324002799946184, 8.84894285765671, 8.664799542923458, 8.707352427520652, 8.760826724946185, 8.974069154869795, 9.003034543261975, 8.749150012037095, 8.766524304355276, 4.044569599946184, 8.762623955946184, 8.949888743179518, 8.885727816446185, 8.743707122831779, 8.505514449946183]
4 	13 	num	[3, 2, 2, 3, 2, 2, 20, 2, 3, 11, 6, 2, 46, 5, 4, 14, 2, 2, 13, 19, 14, 2, 7, 2, 3, 5, 8, 2, 2, 8, 14, 9, 4, 2, 2, 4, 2, 4, 10, 12, 14, 3, 3, 4, 13, 6, 8, 4, 4, 23, 11, 3, 4, 3, 20, 10, 13, 2, 9, 4, 7, 2, 18, 5, 5, 6, 4, 5, 2, 6, 16, 3]
4 	13	score	[8.916973832115556, 8.895554573448887, 4.171761940115554, 9.064149973115555, 9.013005297115555, 8.786258573115553, 8.983490734416254, 8.687899290115555, 8.918642462115553, 9.0744690336962, 8.87579197195766, 8.755024690115555, 8.939677188115555, 8.86832817847453, 8.874234151008412, 8.89721327423031, 4.171761940115554, 4.171761940115554, 8.95770295028727, 8.892751058386523, 9.145265799532222, 4.171761940115554, 8.837381076015554, 8.666805690115554, 9.161773740115555, 8.946491316439083, 9.064185921917082, 4.171761940115554, 4.171761940115554, 8.82927626791372, 8.927391848173617, 8.753316373910256, 8.9588041400701, 9.140210260115555, 4.171761940115554, 8.765016380115554, 4.171761940115554, 8.829300253115555, 9.0997735346472, 8.906035072702512, 8.915909645352396, 8.679524562115555, 9.023182540115554, 8.963161186997908, 8.954175878782221, 8.865977542078518, 8.881744665819259, 9.125442004586143, 8.911743840388283, 8.741769948115554, 8.866724722625758, 8.909339358115554, 8.523074758115555, 9.232570340115554, 9.036876267586141, 8.896072337905029, 8.844218785899338, 9.174407060115554, 8.878587843174378, 9.072126306782222, 8.885199219758412, 8.922716962115555, 9.025070810935944, 8.983965183589913, 8.949645567490553, 8.838500165032222, 9.546364752615553, 9.180881826115554, 4.171761940115554, 9.100761395096686, 8.965191926217777, 8.860739605115555]
