0, 0
1, 1
2, 2
3, *
4, *
5, 3
6, 4
7, *
8, 5
9, *
10, 6
11, 7
12, 8
13, 9
14, 10
15, 11
16, 12
17, 13
18, *
19, 14
20, 15
21, 16
22, *
23, 17
24, *
25, *
26, 18
27, *
28, 19
29, *
30, 20
31, *
32, 21
33, 22
34, 23
35, 24
36, 25
37, 26
38, *
39, 27
40, 28
41, 29
42, *
43, 30
44, 31
45, 32
46, 33
47, 34
48, 35
49, 36
50, *
51, 37
52, 38
53, 39
54, 40
55, 41
56, 42
57, 43
58, 44
59, 45
60, 46
61, 47
62, 48
63, 49
64, 50
65, 51
66, 52
67, 53
68, 54
69, 55
70, 56
71, 57
72, 58
73, 59
74, 60
75, 61
76, 62
77, 63
78, 64
79, 65
80, 66
81, 67
82, 68
83, 69
84, *
85, *
86, *
87, *
88, 70
89, 71
