episode,Episode_reward,Loss
148,-9553.96227286655,-587710595072.0
149,-8668.797169330013,-371760758784.0
150,-8952.057618043109,-503023042560.0
151,-11209.708105924115,-622665662464.0
152,-7517.415071431625,-820029292544.0
153,-6830.4052348285095,-486033457152.0
154,-6535.061099297439,-118550298624.0
155,-7672.982934750506,-372460716032.0
156,-7602.888794889125,-379981332480.0
157,-9129.744531023282,-945252335616.0
158,-8422.476284414295,-466585845760.0
159,-6930.746287179874,-630517202944.0
160,-9435.834975128446,-657292918784.0
161,-9939.798690895685,-684689195008.0
162,-10292.894361509745,-574145036288.0
163,-9121.857985129513,-435503628288.0
164,-10356.5991731093,-556637224960.0
165,-7926.242179683855,-148803665920.0
166,-7630.689219737357,-801807728640.0
167,-7757.387804794734,-932236427264.0
168,-7567.140477764231,-462547255296.0
169,-5935.869849274832,-458001383424.0
170,-8311.494770618205,-750039465984.0
171,-8869.405463322355,-412449570816.0
172,-9286.251027124494,-559611117568.0
173,-6934.829280285077,-755535183872.0
174,-7763.1694923958485,-408448827392.0
175,-8412.849499805618,-818800885760.0
176,-8672.113894930855,-932407672832.0
177,-8134.193789886424,-659772932096.0
178,-9280.266483188545,-522951294976.0
179,-9660.729752747786,-947930398720.0
180,-7127.8074856083895,-1020099690496.0
181,-10319.292179272445,-1127916109824.0
182,-7675.621628080187,-592955572224.0
183,-9148.285751999021,-1279741132800.0
184,-7975.904994326457,-766398169088.0
185,-8003.8848383770255,-703792676864.0
186,-11664.466117628072,-872692252672.0
187,-10052.269878479738,-912844652544.0
188,-8348.779773668428,-907947868160.0
189,-7681.774952384557,-1141457944576.0
190,-7608.916609043018,-1096434778112.0
191,-10567.120568740886,-460127731712.0
192,-8530.687367647597,-884270432256.0
193,-8288.388175203649,-1259839422464.0
194,-8350.88423639081,-756706115584.0
195,-7983.876890973775,-1289287892992.0
196,-9224.042585564044,-707415179264.0
197,-11025.401833040769,-342016262144.0
198,-8521.89143729789,-1011022299136.0
199,-10265.52129961894,-943937159168.0
