episode,Episode_reward,Loss
0,-3610.935572823868,-44771368.0
1,-3823.0783456337417,-79901240.0
2,-3906.364287935386,-247841376.0
3,-3806.553576288564,-412060192.0
4,-3463.255036309291,-492031424.0
5,-3812.2258328515377,-718869632.0
6,-3542.832501737318,-1574310912.0
7,-3409.3440980274,-1565182592.0
8,-4288.141232262038,-1366550656.0
9,-3829.419097783176,-2341307392.0
10,-4387.397809114082,-940435328.0
11,-3534.128894724581,-3100427008.0
12,-3670.119514597305,-2433551104.0
13,-3940.132991332047,-3427938304.0
14,-3531.287949061124,-4225180160.0
15,-3678.013795029041,-4522991616.0
16,-3896.38390789444,-4454986752.0
17,-7536.443273094453,-5347547648.0
18,-3059.5199386960107,-3852893696.0
19,-3936.718811540751,-11320891392.0
20,-3742.7476677682125,-7124005888.0
21,-3735.3435124873354,-11736664064.0
22,-4587.116118469259,-2574397440.0
23,-3448.111450542363,-9611937792.0
24,-3890.630898093923,-6843911168.0
25,-5941.140223450119,-5490897408.0
26,-3807.859495528543,-7888972288.0
27,-3918.6894729444157,-26788157440.0
28,-5201.930626870926,-7686809088.0
29,-3742.244222639146,-13330221056.0
30,-4431.9923901819675,-5359793152.0
31,-3918.6894729444157,-28569217024.0
32,-4276.245768640923,-3124910080.0
33,-6443.909409312893,-10715240448.0
34,-4171.550171332839,-14124050432.0
35,-3797.3339909629794,-4938645504.0
36,-6728.47385997773,-20276267008.0
37,-3543.861204417838,-13673014272.0
38,-3814.402878576755,-18151438336.0
39,-3936.188790511805,561625956352.0
40,-3651.1152497263433,-32356925440.0
41,-3926.7384314998053,-9004083200.0
42,-4154.326940325496,-17557524480.0
43,-3655.917129638987,-28065306624.0
44,-3274.4382405183765,-23918432256.0
45,-3936.6298518952894,-45081694208.0
46,-3561.866169100399,-7414635520.0
47,-3926.7384314998053,-30341632000.0
48,-3495.409493607176,-50474967040.0
49,-3902.28183109394,-48374845440.0
50,-6513.27764233689,-56888336384.0
51,-3928.754605721986,-52901695488.0
52,-3928.348073667672,-56925728768.0
53,-3632.557708005479,-24129273856.0
54,-3794.158751853961,-25601087488.0
55,-5962.060826597585,1450105503744.0
56,-3724.245124879981,-30435061760.0
57,-3525.4253239972795,-73327878144.0
58,-4109.466331665334,-43185332224.0
59,-3864.9217006630865,-76501614592.0
60,-3937.156800642668,-36807647232.0
61,-3602.404492758472,-23603054592.0
62,-3166.002355055175,-79289491456.0
63,-3642.2221264410155,-48488116224.0
64,-3770.435240245364,-51004731392.0
65,-4320.36542123524,-41203159040.0
66,-3450.5938725139636,-48385384448.0
67,-3937.041264599805,-104831893504.0
68,-3916.608327832755,-66503757824.0
69,-4187.362905125547,-56358502400.0
70,-4216.249555640172,-75589410816.0
71,-2874.5219927259645,-52426629120.0
72,-3906.364287935386,-88363974656.0
73,-3541.474896893059,-64169037824.0
74,-4258.942789916415,-121299443712.0
75,-3872.2876484564867,-52265099264.0
76,-3936.177824679805,-59011522560.0
77,-3910.8471088080523,-143506522112.0
78,-8086.224710889164,-80106078208.0
79,-3823.637742044698,-57392095232.0
80,-6950.125036513874,-124311519232.0
