id,aoi,loc1,loc2,time,r
75,"Anrakuji, 安楽寺",35.021695,135.79684,16,6.552721536
76,"Kurumazaki-Jinja Shrine, 車折神社",35.0158845,135.688925,40.70871795,6.0658
77,"Otagi Nenbutsu-ji, 愛宕念仏寺",35.031135,135.661225,40.70871795,6.0658
78,"Adashino Nenbutsu-ji, 化野念仏寺",35.02665,135.66509,40.70871795,6.0658
79,"Nison-in Temple, 二尊院",35.021235,135.66773,40.70871795,6.0658
80,"Houkyō-in Temple, 宝筐院",35.02246,135.673455,40.70871795,6.0658
81,"Daisenji Temple, 大仙寺",35.02753,135.69908,40.70871795,6.0658
82,"Fukuōji-jinja Shrine, 福王子神社",35.029,135.70898,40.70871795,6.0658
83,"Rengeji, 蓮華寺",35.02935,135.71608,40.70871795,6.0658
84,"Wara-tenjin, わら天神",35.0357935,135.73175,40.70871795,6.0658
85,"Shiramine Shrine, 白峯神宮",35.0300085,135.752758,40.70871795,6.0658
86,"Suzumushi temple, 鈴虫寺",34.993585,135.68508,40.70871795,6.0658
87,"Manshu-in, 曼殊院門跡",35.048625,135.80284,40.70871795,6.0658
88,"Kōshō-ji, 仏徳山 興聖寺",34.88996,135.8134,40.70871795,6.0658
89,"Mimuroto Temple, 明星山 三室戸寺",34.900415,135.81915,40.70871795,6.0658
90,"Manpuku-ji, 萬福寺",34.9141,135.80606,40.70871795,6.0658
91,"Shōgo-in Monzeki, 聖護院",35.0189255,135.7800475,40.70871795,6.0658
