AID,count
797,107
798,6
799,2
800,307
801,27
802,43
803,930
804,2
805,1
806,0
807,14
808,29
809,0
810,96
811,7
812,0
813,0
814,14
815,0
816,0
817,1902
818,9
819,9
820,79
821,151
822,795
823,58
824,431
825,19
826,25
827,23
828,1
829,93
830,8
831,4
832,0
833,0
834,0
835,5
836,0
837,0
838,44
839,0
840,76
841,0
842,0
843,0
844,125
845,6
846,0
847,0
848,0
849,0
850,0
851,0
852,1
853,0
854,0
855,0
856,6
857,39
858,37
859,0
860,0
861,92
862,18
863,0
864,3
865,14
866,0
867,16
868,44
869,1
870,0
871,0
872,1
873,0
874,0
875,0
876,4
877,0
878,73
879,0
880,0
881,0
882,9
883,15
884,13
885,1
886,19
887,0
888,16
889,0
890,0
891,0
892,0
893,27
894,5
895,2
896,0
897,0
898,4
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,6
911,32
912,0
913,5
914,0
915,1
916,7
917,1
918,1
919,0
920,3
921,10
922,122
923,0
924,0
925,9
926,0
927,0
928,1359
929,165
930,5
931,124
932,112
933,209
934,18
935,29
936,266
937,8
938,3
939,47
940,184
941,6
942,10
943,101
944,2
945,79
946,82
947,226
948,107
949,46
950,31
951,5
952,0
953,91
954,9
955,9
956,0
957,24
958,21
959,196
960,2
961,8
962,3
963,5
964,10
965,1
966,5
967,12
968,5
969,41
970,0
971,0
972,0
973,4
974,19
975,39
976,25
977,4
978,3
979,17
980,176
981,2
982,3
983,44
984,13
985,0
986,0
987,290
988,1
989,5
990,26
991,0
992,0
993,1
994,19
995,0
996,5
997,89
998,0
999,0
1000,32
1001,1
1002,0
1003,6
1004,1
1005,3
1006,0
1007,0
1008,0
1009,3
1010,0
1011,6
1012,7
1013,0
1014,0
1015,0
1016,0
1017,39
1018,96
1019,25
1020,161
1021,474
1022,356
1023,50
1024,0
1025,1
1026,1
1027,3
1028,55
1029,114
1030,6
1031,3
1032,316
1033,27
1034,48
1035,918
1036,2
1037,1
1038,0
1039,10
1040,29
1041,0
1042,95
1043,8
1044,0
1045,0
1046,13
1047,0
1048,0
1049,1988
1050,10
1051,10
1052,84
1053,148
1054,836
1055,56
1056,453
1057,23
1058,31
1059,25
1060,1
1061,100
1062,8
1063,4
1064,0
1065,0
1066,0
1067,5
1068,0
1069,0
1070,46
1071,0
1072,74
1073,0
1074,0
1075,0
1076,128
1077,6
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,0
1086,0
1087,0
1088,6
1089,41
1090,39
1091,0
1092,0
1093,93
1094,18
1095,0
1096,3
1097,14
1098,0
1099,16
1100,47
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,4
1109,0
1110,74
1111,0
1112,0
1113,0
1114,10
1115,14
1116,14
1117,1
1118,18
1119,0
1120,20
1121,0
1122,0
1123,0
1124,0
1125,28
1126,5
1127,2
1128,0
1129,0
1130,3
1131,0
1132,0
1133,0
1134,3
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,7
1143,33
1144,0
1145,6
1146,0
1147,1
1148,7
1149,0
1150,1
1151,0
1152,2
1153,13
1154,120
1155,0
1156,0
1157,11
1158,0
1159,0
1160,1394
1161,167
1162,6
1163,125
1164,113
1165,215
1166,17
1167,32
1168,248
1169,7
1170,3
1171,52
1172,196
1173,7
1174,11
1175,103
1176,2
1177,81
1178,84
1179,232
1180,110
1181,48
1182,31
1183,5
1184,1
1185,86
1186,11
1187,7
1188,1
1189,25
1190,22
1191,191
1192,3
1193,7
1194,2
1195,7
1196,12
1197,1
1198,7
1199,12
1200,5
1201,43
1202,0
1203,0
1204,0
1205,4
1206,18
1207,41
1208,24
1209,4
1210,4
1211,14
1212,177
1213,1
1214,3
1215,46
1216,12
1217,0
1218,0
1219,284
1220,1
1221,4
1222,27
1223,0
1224,0
1225,1
1226,16
1227,0
1228,5
1229,91
1230,0
1231,0
1232,29
1233,1
1234,0
1235,6
1236,1
1237,3
1238,0
1239,0
1240,0
1241,4
1242,0
1243,6
1244,10
1245,0
1246,0
1247,0
1248,0
1249,40
1250,99
1251,27
1252,166
1253,497
1254,372
1255,45
1256,0
1257,1
1258,1
1259,2
1260,56
1261,117
1262,6
1263,2
1264,314
1265,29
1266,45
1267,931
1268,3
1269,1
1270,0
1271,10
1272,28
1273,0
1274,101
1275,7
1276,0
1277,0
1278,15
1279,0
1280,0
1281,2013
1282,9
1283,13
1284,86
1285,157
1286,845
1287,51
1288,455
1289,21
1290,31
1291,26
1292,1
1293,102
1294,8
1295,4
1296,0
1297,0
1298,0
1299,4
1300,0
1301,0
1302,45
1303,0
1304,72
1305,0
1306,0
1307,0
1308,131
1309,6
1310,0
1311,0
1312,0
