pid,timestamp,score_mean,photo_count
377,1:00:00,5.2758849,4
389,1:00:00,4.8679524,5
428,1:00:00,4.2665881,3
429,1:00:00,4.580499315,13
432,1:00:00,5.064177943,7
435,1:00:00,5.142738583,6
451,1:00:00,5.146120067,3
564,1:00:00,4.897193,2
626,1:00:00,4.81460624,53
635,1:00:00,4.7095151,3
660,1:00:00,5.282861925,4
696,1:00:00,4.6109683,13
711,1:00:00,4.754499968,25
714,1:00:00,4.442501421,24
785,1:00:00,4.37296912,10
798,1:00:00,4.748919622,9
833,1:00:00,4.59887766,10
834,1:00:00,3.93171765,2
838,1:00:00,5.025064,2
931,1:00:00,4.765901625,4
950,1:00:00,3.73419545,2
953,1:00:00,3.680443033,3
1084,1:00:00,4.5887186,3
1089,1:00:00,4.85942372,10
1122,1:00:00,4.11720395,2
1123,1:00:00,4.132389733,3
1191,1:00:00,5.0965002,3
1220,1:00:00,4.2109853,9
1249,1:00:00,3.61664325,2
1359,1:00:00,5.21526525,2
3,2:00:00,4.3581034,2
4,2:00:00,4.708112003,31
9,2:00:00,4.668519386,14
12,2:00:00,4.437069356,9
20,2:00:00,4.213885367,3
31,2:00:00,4.8865517,3
34,2:00:00,4.31916385,16
35,2:00:00,4.615179645,11
47,2:00:00,4.90314896,15
59,2:00:00,4.742388667,3
61,2:00:00,4.251217167,3
107,2:00:00,4.92650888,5
151,2:00:00,5.07584828,10
155,2:00:00,4.664395823,13
156,2:00:00,5.042516233,3
172,2:00:00,4.2525042,2
175,2:00:00,4.4183071,3
186,2:00:00,4.808912033,3
189,2:00:00,4.57079285,6
191,2:00:00,4.867728712,8
194,2:00:00,5.016239,4
200,2:00:00,5.0444541,2
201,2:00:00,4.651499217,12
202,2:00:00,4.8583751,2
209,2:00:00,5.059924433,3
210,2:00:00,4.640411,2
213,2:00:00,4.398564,2
231,2:00:00,4.050178529,7
232,2:00:00,4.8786588,2
246,2:00:00,4.7580081,4
248,2:00:00,4.737164467,3
280,2:00:00,4.536073378,9
290,2:00:00,4.740348475,4
295,2:00:00,5.0740993,4
296,2:00:00,5.148743967,3
299,2:00:00,4.704042,2
308,2:00:00,4.468717,2
309,2:00:00,4.809570533,3
313,2:00:00,4.535059457,14
315,2:00:00,4.65105675,2
317,2:00:00,4.62858525,10
319,2:00:00,4.855576525,4
322,2:00:00,4.80923544,5
353,2:00:00,4.763544517,23
356,2:00:00,5.192091,2
367,2:00:00,4.803846191,35
368,2:00:00,4.743780275,4
369,2:00:00,5.082838333,3
375,2:00:00,4.72665831,10
377,2:00:00,5.199526794,17
380,2:00:00,5.398618313,8
405,2:00:00,4.800934,2
429,2:00:00,4.5238228,2
432,2:00:00,4.8261704,2
474,2:00:00,4.4321544,2
490,2:00:00,4.730722133,3
513,2:00:00,5.2149878,7
547,2:00:00,4.75907345,2
562,2:00:00,5.05123004,5
564,2:00:00,4.7397879,4
626,2:00:00,4.844344223,90
639,2:00:00,4.89403394,5
678,2:00:00,4.850553,2
696,2:00:00,4.824509318,11
711,2:00:00,4.803535913,16
714,2:00:00,4.350853778,40
785,2:00:00,4.20148895,2
830,2:00:00,4.911516179,14
833,2:00:00,4.09303575,2
853,2:00:00,4.05326835,2
864,2:00:00,4.6705961,2
876,2:00:00,4.55570935,2
913,2:00:00,3.55325525,2
949,2:00:00,4.4828296,2
950,2:00:00,4.631863016,32
969,2:00:00,5.1614964,2
970,2:00:00,4.793643,2
1065,2:00:00,4.69028305,2
1126,2:00:00,4.756759933,3
1187,2:00:00,4.994367461,18
4,3:00:00,4.848262147,66
9,3:00:00,4.83602265,48
13,3:00:00,4.8886957,3
20,3:00:00,4.858496767,3
31,3:00:00,4.878229525,4
34,3:00:00,4.824480417,18
47,3:00:00,5.026521613,8
59,3:00:00,5.057144017,6
106,3:00:00,4.820199075,4
119,3:00:00,4.531721,2
126,3:00:00,5.35924856,10
147,3:00:00,5.00312865,2
151,3:00:00,4.927641315,13
155,3:00:00,4.8839533,6
156,3:00:00,4.901757,2
166,3:00:00,4.948169333,3
175,3:00:00,4.707328722,9
177,3:00:00,5.5199407,5
191,3:00:00,4.703748017,12
209,3:00:00,5.1964757,2
210,3:00:00,4.096566833,3
221,3:00:00,4.7521886,7
230,3:00:00,5.1221015,2
231,3:00:00,4.182464133,3
238,3:00:00,5.061961833,3
239,3:00:00,4.97942618,5
240,3:00:00,4.9007687,2
270,3:00:00,4.78879218,15
280,3:00:00,4.927841783,6
295,3:00:00,5.0545168,3
313,3:00:00,4.58188105,2
317,3:00:00,4.954179433,3
322,3:00:00,4.80380765,2
328,3:00:00,5.069558433,3
338,3:00:00,4.48833275,2
340,3:00:00,4.6857338,2
353,3:00:00,5.063382185,13
356,3:00:00,5.2306967,2
357,3:00:00,4.461551,2
361,3:00:00,4.50414255,2
363,3:00:00,4.658712871,7
367,3:00:00,4.819054127,22
372,3:00:00,4.858061882,11
375,3:00:00,4.812419475,12
378,3:00:00,5.235765767,3
432,3:00:00,4.5773494,2
435,3:00:00,5.089571315,26
443,3:00:00,4.6042873,2
497,3:00:00,4.8568675,2
526,3:00:00,5.14502748,5
552,3:00:00,4.53934685,16
553,3:00:00,4.981942675,4
580,3:00:00,4.7932987,7
621,3:00:00,4.913900775,4
626,3:00:00,4.671636633,3
639,3:00:00,5.080563857,7
670,3:00:00,5.2110478,3
699,3:00:00,4.78999305,2
700,3:00:00,5.6490453,2
709,3:00:00,4.9313403,3
714,3:00:00,4.507433307,14
723,3:00:00,4.37772,2
742,3:00:00,4.98177505,2
819,3:00:00,4.498117783,6
830,3:00:00,5.00508961,20
862,3:00:00,5.14266315,2
934,3:00:00,5.440965833,3
948,3:00:00,4.856258718,17
949,3:00:00,5.634378825,4
950,3:00:00,4.464493417,6
1126,3:00:00,4.7515279,5
1187,3:00:00,4.748733191,11
1189,3:00:00,4.50369936,5
1210,3:00:00,4.9900274,2
1276,3:00:00,4.263177,3
1359,3:00:00,4.773440033,3
4,4:00:00,4.33666652,10
9,4:00:00,4.7530984,35
12,4:00:00,4.461653775,4
13,4:00:00,4.81929934,5
17,4:00:00,4.39683775,2
25,4:00:00,4.6619362,3
31,4:00:00,4.27691735,2
32,4:00:00,4.58838725,2
34,4:00:00,4.613585057,14
35,4:00:00,4.664478359,22
47,4:00:00,4.8096368,3
107,4:00:00,5.047861745,22
133,4:00:00,4.7644819,5
134,4:00:00,4.720327,3
142,4:00:00,4.39374685,2
151,4:00:00,4.873571264,11
155,4:00:00,4.837181587,15
168,4:00:00,4.7992818,2
170,4:00:00,4.912517267,3
173,4:00:00,4.612959991,23
175,4:00:00,4.7737989,4
184,4:00:00,5.05290745,2
188,4:00:00,4.7361227,2
189,4:00:00,5.0112382,2
227,4:00:00,4.548765543,14
239,4:00:00,4.60748825,4
244,4:00:00,5.066336,2
245,4:00:00,4.800869986,7
270,4:00:00,4.68241152,5
317,4:00:00,5.27705905,2
322,4:00:00,4.9012692,2
372,4:00:00,4.433200267,6
375,4:00:00,5.291100957,7
377,4:00:00,4.56969565,2
378,4:00:00,5.167788667,3
435,4:00:00,5.0947385,2
443,4:00:00,4.99938155,2
542,4:00:00,4.580293333,3
550,4:00:00,4.545360933,3
552,4:00:00,4.46231,3
579,4:00:00,4.803718567,3
580,4:00:00,4.79861348,5
607,4:00:00,4.995084625,12
615,4:00:00,4.98754262,15
623,4:00:00,4.481380325,4
639,4:00:00,4.6420545,3
696,4:00:00,5.131785557,23
711,4:00:00,4.81972224,5
714,4:00:00,4.69570995,8
742,4:00:00,4.844527032,22
825,4:00:00,4.848897856,18
830,4:00:00,4.8357479,13
833,4:00:00,5.002285367,6
864,4:00:00,4.85315545,6
867,4:00:00,4.5630164,2
912,4:00:00,5.5281952,2
914,4:00:00,4.623459937,30
929,4:00:00,4.68506955,2
949,4:00:00,4.6643524,2
955,4:00:00,5.267578267,3
1126,4:00:00,4.664419457,7
1169,4:00:00,4.704392475,4
1187,4:00:00,4.718461162,21
1191,4:00:00,4.753534,4
1359,4:00:00,5.4987215,2
4,5:00:00,5.013990867,3
9,5:00:00,4.48959657,23
12,5:00:00,4.448083757,7
13,5:00:00,4.540188167,6
20,5:00:00,4.6445455,3
31,5:00:00,4.52294525,2
34,5:00:00,4.894285743,7
35,5:00:00,4.872161956,9
47,5:00:00,4.869551142,12
52,5:00:00,5.481571167,3
53,5:00:00,4.650455,2
59,5:00:00,4.728318325,4
63,5:00:00,5.287841767,3
70,5:00:00,5.0525055,2
107,5:00:00,5.2390702,2
123,5:00:00,4.85715885,2
129,5:00:00,4.755044314,7
151,5:00:00,4.80581752,5
173,5:00:00,4.829568878,9
174,5:00:00,5.300767467,3
186,5:00:00,4.95182642,5
201,5:00:00,5.109329767,3
227,5:00:00,4.536588333,12
238,5:00:00,4.17199665,2
244,5:00:00,4.997666171,7
253,5:00:00,4.496200733,3
266,5:00:00,5.012995,2
267,5:00:00,4.78388275,2
274,5:00:00,5.11028566,5
293,5:00:00,4.7639965,4
295,5:00:00,4.62295449,50
308,5:00:00,4.941883333,3
322,5:00:00,4.9161105,2
323,5:00:00,4.564643025,4
368,5:00:00,4.7989287,2
369,5:00:00,4.762362446,13
375,5:00:00,5.0234991,6
378,5:00:00,4.79467236,5
380,5:00:00,4.828228867,3
405,5:00:00,5.260268117,6
429,5:00:00,4.76614175,10
432,5:00:00,4.563485433,3
477,5:00:00,4.831149063,19
552,5:00:00,4.910104918,11
593,5:00:00,4.86116372,5
606,5:00:00,5.180476973,11
607,5:00:00,4.75727325,2
610,5:00:00,4.1680537,2
615,5:00:00,5.02378082,5
639,5:00:00,4.811329625,4
648,5:00:00,4.813183333,3
742,5:00:00,4.790974984,49
775,5:00:00,4.807806882,11
777,5:00:00,4.4577725,2
798,5:00:00,4.74701136,5
825,5:00:00,5.000967529,28
846,5:00:00,4.399953933,3
852,5:00:00,4.350082,2
862,5:00:00,4.6480191,4
914,5:00:00,4.81183995,6
955,5:00:00,5.059236367,3
1126,5:00:00,4.098183406,17
1152,5:00:00,4.699359833,3
1169,5:00:00,4.90384765,2
1187,5:00:00,4.805558456,9
1213,5:00:00,4.428139233,3
1337,5:00:00,4.388515392,25
1445,5:00:00,4.63135955,2
4,6:00:00,4.747131,3
9,6:00:00,4.558632867,18
13,6:00:00,4.88091886,5
18,6:00:00,4.583770475,4
20,6:00:00,4.33471415,2
30,6:00:00,5.2331803,4
34,6:00:00,4.4284474,3
35,6:00:00,4.922054475,48
47,6:00:00,5.03927874,5
59,6:00:00,4.5396504,2
60,6:00:00,5.119784,2
94,6:00:00,5.001269983,6
136,6:00:00,4.9211896,10
149,6:00:00,4.762934138,16
151,6:00:00,4.64117675,10
156,6:00:00,5.09011115,2
168,6:00:00,4.573972875,4
171,6:00:00,4.5482868,3
175,6:00:00,4.74111025,2
189,6:00:00,4.76719376,10
201,6:00:00,4.670608883,6
214,6:00:00,4.2225105,3
215,6:00:00,4.959377875,4
227,6:00:00,4.311560486,7
232,6:00:00,4.89785435,2
244,6:00:00,5.339691188,8
259,6:00:00,4.5676944,3
260,6:00:00,4.816081333,3
267,6:00:00,4.6023531,2
281,6:00:00,3.94612785,2
285,6:00:00,5.2130585,2
295,6:00:00,4.563788327,93
303,6:00:00,4.4666449,3
305,6:00:00,5.03031165,2
344,6:00:00,4.740192867,3
357,6:00:00,4.74335475,2
368,6:00:00,4.7817308,3
369,6:00:00,4.946267643,21
375,6:00:00,4.892569978,9
378,6:00:00,5.188809,2
381,6:00:00,4.65902125,2
401,6:00:00,4.569282833,3
402,6:00:00,4.501296633,3
405,6:00:00,4.6480972,5
409,6:00:00,4.8295725,3
420,6:00:00,4.545403667,6
425,6:00:00,5.1024611,2
429,6:00:00,4.2312518,3
432,6:00:00,5.2175822,8
477,6:00:00,4.56738636,10
552,6:00:00,4.620508092,13
568,6:00:00,4.8802271,2
577,6:00:00,4.63087275,2
606,6:00:00,4.971887011,9
639,6:00:00,4.9476917,2
648,6:00:00,4.711153,2
660,6:00:00,4.40960588,5
670,6:00:00,4.32067726,5
671,6:00:00,4.614600347,17
