aid,aoi,boundary,polygon
1018,"Nishikyogoku Athletic Park, 西京極総合運動公園",[135.713291  34.992441 135.71593   34.994566],"[[34.994566, 135.713291], [34.994566, 135.71593], [34.992441, 135.71593], [34.992441, 135.713291]]"
1019,"Katsura Imperial Villa, 桂離宮",[135.709571  34.983405 135.71069   34.984609],"[[34.984609, 135.709571], [34.984609, 135.71069], [34.983405, 135.71069], [34.983405, 135.709571]]"
1020,"Katsura Station, 桂駅",[135.702727  34.978705 135.703264  34.979647],"[[34.979647, 135.702727], [34.979647, 135.703264], [34.978705, 135.703264], [34.978705, 135.702727]]"
1021,"Kisshoin-Tenmangu Shrine, 吉祥院天満宮",[135.733794  34.973261 135.735124  34.974233],"[[34.974233, 135.733794], [34.974233, 135.735124], [34.973261, 135.735124], [34.973261, 135.733794]]"
1022,"Yoshiminedera, 善峯寺",[135.64355   34.937713 135.64534   34.939451],"[[34.939451, 135.64355], [34.939451, 135.64534], [34.937713, 135.64534], [34.937713, 135.64355]]"
1023,"Yamazaki Distillery, 山崎蒸溜所",[135.674408  34.889733 135.700616  34.893061],"[[34.893061, 135.674408], [34.893061, 135.700616], [34.889733, 135.700616], [34.889733, 135.674408]]"
1024,"Iwashimizu Hachimangu, 石清水八幡宮",[135.699508  34.878013 135.701766  34.883272],"[[34.883272, 135.699508], [34.883272, 135.701766], [34.878013, 135.701766], [34.878013, 135.699508]]"
1025,"Matsubara-nakanocho, 松原中之町",[135.763978  34.998529 135.764579  34.998784],"[[34.998784, 135.763978], [34.998784, 135.764579], [34.998529, 135.764579], [34.998529, 135.763978]]"
1026,"Kujo-dory, 九条通",[135.756125  34.979294 135.756597  34.979547],"[[34.979547, 135.756125], [34.979547, 135.756597], [34.979294, 135.756597], [34.979294, 135.756125]]"
1027,"Karasuma-dori, 烏丸通",[135.758986  34.975508 135.759083  34.97608 ],"[[34.97608, 135.758986], [34.97608, 135.759083], [34.975508, 135.759083], [34.975508, 135.758986]]"
1028,"Sai-in, 西院",[135.731444  35.003186 135.731444  35.003208],"[[35.003208, 135.731444], [35.003208, 135.731444], [35.003186, 135.731444], [35.003186, 135.731444]]"
1029,"Kyoto Pulse Plaza, 京都パルスプラザ",[135.749866  34.947447 135.750058  34.947788],"[[34.947788, 135.749866], [34.947788, 135.750058], [34.947447, 135.750058], [34.947447, 135.749866]]"
1030,"Kyoto Prefectural Kamogawa Park, 京都府立鴨川公園",[135.762197  35.000444 135.773742  35.03238 ],"[[35.03238, 135.762197], [35.03238, 135.773742], [35.000444, 135.773742], [35.000444, 135.762197]]"
1031,"Kyoto Prefectural University, 京都府立大学",[135.758738  35.04371  135.763204  35.044808],"[[35.044808, 135.758738], [35.044808, 135.763204], [35.04371, 135.763204], [35.04371, 135.758738]]"
1032,"Koujinguchidori, 荒神口通",[135.768783  35.02114  135.771847  35.022147],"[[35.022147, 135.768783], [35.022147, 135.771847], [35.02114, 135.771847], [35.02114, 135.768783]]"
1033,"Marutamachidori, 丸太町通",[135.768978  35.016733 135.777025  35.018806],"[[35.018806, 135.768978], [35.018806, 135.777025], [35.016733, 135.777025], [35.016733, 135.768978]]"
1034,"Kyoto Sanjo Shopping Street, 京都三条会商店街",[135.745868  35.007221 135.752102  35.009213],"[[35.009213, 135.745868], [35.009213, 135.752102], [35.007221, 135.752102], [35.007221, 135.745868]]"
1035,"Sanjodori, 三条通",[135.754422  35.007643 135.776916  35.01172 ],"[[35.01172, 135.754422], [35.01172, 135.776916], [35.007643, 135.776916], [35.007643, 135.754422]]"
1036,"Kamogawa Sanjo, 鴨川三条",[135.77196   35.005182 135.774108  35.009666],"[[35.009666, 135.77196], [35.009666, 135.774108], [35.005182, 135.774108], [35.005182, 135.77196]]"
1037,"Nijo Dori, 二条通",[135.760069  35.010666 135.770657  35.015277],"[[35.015277, 135.760069], [35.015277, 135.770657], [35.010666, 135.770657], [35.010666, 135.760069]]"
1038,"Kamogawa Sanjo, 鴨川三条",[135.770381  35.011299 135.772594  35.016219],"[[35.016219, 135.770381], [35.016219, 135.772594], [35.011299, 135.772594], [35.011299, 135.770381]]"
1039,"Shirakawa-dori, 白川北通",[135.774879  35.006    135.777386  35.007222],"[[35.007222, 135.774879], [35.007222, 135.777386], [35.006, 135.777386], [35.006, 135.774879]]"
1040,"Torokko Saga, トロッコ嵯峨",[135.680833  35.016394 135.682032  35.019175],"[[35.019175, 135.680833], [35.019175, 135.682032], [35.016394, 135.682032], [35.016394, 135.680833]]"
1041,"Torokko Hozukyo, トロッコ保津峡",[135.623152  35.017605 135.653561  35.027391],"[[35.027391, 135.623152], [35.027391, 135.653561], [35.017605, 135.653561], [35.017605, 135.623152]]"
1042,"Torokko Kameoka, トロッコ亀岡",[135.57671   35.010047 135.607861  35.014288],"[[35.014288, 135.57671], [35.014288, 135.607861], [35.010047, 135.607861], [35.010047, 135.57671]]"
1043,"Funaokayama Park, 船岡山公園",[135.741588  35.038116 135.744675  35.039866],"[[35.039866, 135.741588], [35.039866, 135.744675], [35.038116, 135.744675], [35.038116, 135.741588]]"
1044,"Imamiya Shrine, 今宫神社",[135.741822  35.044902 135.74233   35.046006],"[[35.046006, 135.741822], [35.046006, 135.74233], [35.044902, 135.74233], [35.044902, 135.741822]]"
1045,"Genkō-an Temple, 源光庵",[135.731503  35.05417  135.731919  35.054827],"[[35.054827, 135.731503], [35.054827, 135.731919], [35.05417, 135.731919], [35.05417, 135.731503]]"
