aid,aoi,boundary,polygon
1122,"Bunda-in Temple, 芬陀院",[135.771854  34.976235 135.772048  34.976519],"[[34.976519, 135.771854], [34.976519, 135.772048], [34.976235, 135.772048], [34.976235, 135.771854]]"
1123,"Reiunin Temple, 霊雲院",[135.770759  34.977619 135.772047  34.979095],"[[34.979095, 135.770759], [34.979095, 135.772047], [34.977619, 135.772047], [34.977619, 135.770759]]"
1124,"Tofukuji Station, 東福寺駅",[135.769722  34.978673 135.771902  34.981666],"[[34.981666, 135.769722], [34.981666, 135.771902], [34.978673, 135.771902], [34.978673, 135.769722]]"
1125,"Hachi Shrine , 八神社",[135.797474  35.027923 135.79874   35.02852 ],"[[35.02852, 135.797474], [35.02852, 135.79874], [35.027923, 135.79874], [35.027923, 135.797474]]"
1126,"Kitashirakawa Shibusecho, 北白川仕伏町",[135.79573   35.031683 135.798311  35.032641],"[[35.032641, 135.79573], [35.032641, 135.798311], [35.031683, 135.798311], [35.031683, 135.79573]]"
1127,"Kitashirakawaten Shrine, 北白川天神宮",[135.796141  35.029327 135.796463  35.0297  ],"[[35.0297, 135.796141], [35.0297, 135.796463], [35.029327, 135.796463], [35.029327, 135.796141]]"
1128,"Kitashirakawa Nishimachi, 北白川西町",[135.786844  35.028661 135.787622  35.029434],"[[35.029434, 135.786844], [35.029434, 135.787622], [35.028661, 135.787622], [35.028661, 135.786844]]"
1129,"Genhouin, 山科伯爵邸 源鳳院",[135.788533  35.014619 135.7891    35.015333],"[[35.015333, 135.788533], [35.015333, 135.7891], [35.014619, 135.7891], [35.014619, 135.788533]]"
1130,"Entoku-in,圓徳院",[135.779149  35.000127 135.780341  35.001366],"[[35.001366, 135.779149], [35.001366, 135.780341], [35.000127, 135.780341], [35.000127, 135.779149]]"
1131,"Kodaiji Park, 高台寺公園",[135.779419  34.998888 135.780447  35.000083],"[[35.000083, 135.779419], [35.000083, 135.780447], [34.998888, 135.780447], [34.998888, 135.779419]]"
1132,"Ishibe Koji, 石塀小路",[135.778207  35.000398 135.778833  35.001088],"[[35.001088, 135.778207], [35.001088, 135.778833], [35.000398, 135.778833], [35.000398, 135.778207]]"
1133,"Shimogawa dori, 下河原通",[135.778255  34.999166 135.779428  35.000333],"[[35.000333, 135.778255], [35.000333, 135.779428], [34.999166, 135.779428], [34.999166, 135.778255]]"
1134,"Higashiyama Yasui, 東山安井",[135.777111  34.999991 135.778827  35.002166],"[[35.002166, 135.777111], [35.002166, 135.778827], [34.999991, 135.778827], [34.999991, 135.777111]]"
1135,"Higashiyama Sanjo, 東山三条",[135.777543  35.00838  135.785865  35.012055],"[[35.012055, 135.777543], [35.012055, 135.785865], [35.00838, 135.785865], [35.00838, 135.777543]]"
1136,"Tosendai Observatory, 登仙台展望台",[135.833091  35.053326 135.83349   35.053559],"[[35.053559, 135.833091], [35.053559, 135.83349], [35.053326, 135.83349], [35.053326, 135.833091]]"
1137,"Hiei-Sancho, 比叡山頂",[135.825805  35.064146 135.835463  35.066322],"[[35.066322, 135.825805], [35.066322, 135.835463], [35.064146, 135.835463], [35.064146, 135.825805]]"
1138,"Kirarazaka, 雲母坂",[135.80638   35.05298  135.823027  35.064502],"[[35.064502, 135.80638], [35.064502, 135.823027], [35.05298, 135.823027], [35.05298, 135.80638]]"
1139,"Kitayama-tori, 北山通",[135.748357  35.048702 135.748411  35.048715],"[[35.048715, 135.748357], [35.048715, 135.748411], [35.048702, 135.748411], [35.048702, 135.748357]]"
1140,"Kamitobatonomori Higashimukocho, 上鳥羽塔ノ森東向町",[135.737639  34.951382 135.73794   34.951769],"[[34.951769, 135.737639], [34.951769, 135.73794], [34.951382, 135.73794], [34.951382, 135.737639]]"
